Set Lambda Up(nm), Detector 5 (cts/s), Error Counts
1516.7, 20417.6, 152.515048438
1516.8, 19525.1, 325.371310966
1516.9, 18175.5, 186.999064169
1517.0, 19789.7, 268.793619716
1517.1, 18250.4, 357.247869133
1517.2, 18452.6, 170.712155396
1517.3, 16967.6, 330.119735854
1517.4, 17180.6, 270.656682903
1517.5, 18124.5, 349.546634943
1517.6, 17532.7, 169.404279757
1517.7, 15957.9, 153.846969421
1517.8, 17831.3, 205.64583633
1517.9, 16891.6, 299.54371968
1518.0, 17106.4, 216.648655662
1518.1, 15762.9, 132.315872064
1518.2, 15767.4, 214.265816219
1518.3, 16151.6, 271.646166916
1518.4, 15147.6, 223.432405886
1518.5, 15420.5, 233.066192315
1518.6, 14725.9, 220.057924193
1518.7, 15032.0, 296.803975715
1518.8, 15925.1, 279.859411134
1518.9, 16027.7, 204.757441867
1519.0, 16130.0, 229.97217223
1519.1, 15264.1, 201.950216638
1519.2, 14886.4, 125.720483613
1519.3, 14370.7, 129.144918599
1519.4, 14241.1, 116.490729245
1519.5, 14884.8, 231.311824168
1519.6, 15630.5, 332.17352393
1519.7, 14372.2, 140.545224038
1519.8, 13839.3, 263.144086006
1519.9, 13764.2, 266.705380523
1520.0, 13617.6, 152.527505716
1520.1, 13955.8, 154.850766869
1520.2, 14142.9, 125.951141321
1520.3, 15637.8, 265.345359861
1520.4, 13700.8, 177.471575189
1520.5, 14943.9, 196.026248242
1520.6, 14527.5, 112.395951884
1520.7, 13952.1, 202.230784007
1520.8, 12961.2, 136.922459808
1520.9, 13101.6, 193.150304168
1521.0, 13737.5, 179.202818058
1521.1, 13462.0, 127.44253607
1521.2, 14184.7, 256.274871964
1521.3, 14828.9, 206.359613297
1521.4, 15119.4, 87.3340712437
1521.5, 14569.3, 255.698279228
1521.6, 13728.0, 128.275484797
1521.7, 13925.3, 259.651709026
1521.8, 15490.9, 280.922925373
1521.9, 14038.7, 177.679514858
1522.0, 14862.0, 209.169309412
1522.1, 14317.5, 195.343415553
1522.2, 13184.8, 198.178101717
1522.3, 14066.2, 188.204569551
1522.4, 13549.2, 282.615569281
1522.5, 12752.3, 88.7908215977
1522.6, 14840.2, 170.128657198
1522.7, 13957.6, 165.869346173
1522.8, 13862.5, 135.056469671
1522.9, 13667.9, 134.906226691
1523.0, 13035.5, 197.634637652
1523.1, 14000.2, 170.435794363
1523.2, 13695.2, 164.179048602
1523.3, 12167.4, 165.258101163
1523.4, 12961.7, 183.012048784
1523.5, 13401.1, 270.959203571
1523.6, 13566.4, 115.83367386
1523.7, 13696.6, 218.65141207
1523.8, 12414.6, 167.079142923
1523.9, 12730.5, 207.809167267
1524.0, 12682.6, 118.520209247
1524.1, 13214.2, 231.45790114
1524.2, 14339.8, 201.91473448
1524.3, 12441.7, 273.555862668
1524.4, 11970.6, 190.0201042
1524.5, 12929.6, 87.3592582386
1524.6, 13392.7, 134.258742732
1524.7, 11969.4, 135.879505445
1524.8, 12976.1, 97.8023005864
1524.9, 12116.0, 185.630816407
1525.0, 13694.2, 143.549851968
1525.1, 13989.5, 141.834586755
1525.2, 13276.1, 230.297828909
1525.3, 13420.8, 171.532387612
1525.4, 14223.8, 140.503238397
1525.5, 14283.9, 156.774647185
1525.6, 15185.5, 119.134587757
1525.7, 14365.6, 333.048104634
1525.8, 14755.5, 182.702079901
1525.9, 16310.7, 103.745891485
1526.0, 15419.0, 250.894798671
1526.1, 15302.9, 184.90454294
1526.2, 15641.8, 207.278942491
1526.3, 15451.5, 215.324522524
1526.4, 16071.1, 283.655583411
1526.5, 15531.8, 208.98554974
1526.6, 16466.4, 212.738430943
1526.7, 17699.6, 564.902150819
